Tm,NumBat,BatAge,RunsPerGame,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPSplus,TB,GDP,HBP,SH,SF,IBB,LOB
Arizona Diamondbacks,45,28.4,4.26,88,3269,2920,375,691,150,20,79,361,56,16,276,636,0.237,0.307,0.383,0.69,89,1118,49,30,18,23,6,578
Athletics,47,26.6,4.58,89,3429,3039,408,755,138,7,113,392,50,16,327,771,0.248,0.327,0.41,0.737,100,1246,63,34,12,16,18,646
Atlanta Braves,50,29.8,4.85,87,3272,2944,422,727,131,7,113,411,46,16,261,688,0.247,0.312,0.411,0.724,100,1211,36,33,3,30,6,564
Baltimore Orioles,46,27,4.6,90,3407,2999,414,714,139,12,104,401,48,18,346,825,0.238,0.319,0.396,0.716,101,1189,58,23,11,26,7,609
Boston Red Sox,43,28.3,4.02,87,3250,2911,350,708,154,16,76,335,67,20,255,714,0.243,0.312,0.385,0.697,98,1122,59,46,12,24,3,588
Chicago Cubs,49,28.8,5.04,89,3518,3042,449,742,141,15,112,420,60,12,395,755,0.244,0.338,0.411,0.749,110,1249,57,50,5,25,12,708
Chicago White Sox,50,25.8,4.78,88,3343,2943,421,711,131,7,122,403,58,25,302,795,0.242,0.321,0.415,0.736,105,1222,42,52,22,22,10,591
Cincinnati Reds,46,27.5,4.19,88,3342,2951,369,674,141,7,106,350,63,21,331,829,0.228,0.31,0.389,0.699,90,1147,53,26,13,18,6,623
Cleveland Guardians,41,27.2,3.96,90,3357,2954,356,676,139,10,82,339,81,19,334,740,0.229,0.311,0.366,0.677,91,1081,49,29,17,21,9,625
Colorado Rockies,45,26.7,4.84,90,3434,3061,436,789,166,18,103,419,64,27,285,785,0.258,0.328,0.425,0.753,97,1300,52,50,11,27,4,613
Detroit Tigers,43,26.5,4.19,89,3354,2970,373,699,135,16,104,356,31,13,319,770,0.235,0.313,0.397,0.71,96,1178,48,30,5,26,3,622
Houston Astros,51,29,4.52,91,3436,3059,411,739,142,7,120,393,28,12,301,742,0.242,0.316,0.41,0.726,102,1255,66,40,13,21,19,614
Kansas City Royals,42,28,4.09,89,3341,2979,364,719,154,10,87,346,70,19,285,716,0.241,0.312,0.387,0.699,98,1154,56,33,12,32,7,606
Los Angeles Angels,50,28.1,4.38,90,3396,3021,394,716,137,9,103,379,42,16,293,846,0.237,0.314,0.391,0.705,99,1180,66,54,10,17,9,603
Los Angeles Dodgers,41,30.6,5.34,90,3481,3031,481,804,154,9,122,453,35,14,369,705,0.265,0.348,0.443,0.791,118,1342,76,34,10,34,14,651
Miami Marlins,42,25.7,4.54,90,3389,2989,409,752,151,22,87,394,96,30,307,734,0.252,0.328,0.404,0.732,106,1208,56,49,12,31,8,621
Milwaukee Brewers,43,27.8,5.13,87,3394,2958,446,754,151,13,82,420,84,26,363,717,0.255,0.338,0.398,0.736,102,1177,49,21,24,21,17,656
Minnesota Twins,44,28.7,4.91,90,3423,3046,442,750,144,12,117,420,55,23,297,743,0.246,0.321,0.417,0.738,104,1269,48,50,5,24,5,603
New York Mets,48,27.7,3.96,89,3319,2983,352,687,106,12,101,338,39,21,267,741,0.23,0.298,0.375,0.674,87,1120,60,31,14,20,7,583
New York Yankees,40,29.7,4.84,88,3311,2914,426,686,133,13,128,406,92,26,349,779,0.235,0.319,0.422,0.741,105,1229,48,18,5,22,11,563
Philadelphia Phillies,41,30.1,4.49,89,3325,3001,400,714,120,12,120,386,67,11,259,780,0.238,0.304,0.406,0.71,89,1218,45,36,4,24,6,577
Pittsburgh Pirates,40,28.3,5.16,90,3545,3134,464,818,145,10,112,444,85,16,336,850,0.261,0.339,0.421,0.76,108,1319,70,45,5,23,7,686
San Diego Padres,40,29.7,3.9,88,3234,2880,343,646,131,9,93,335,87,22,291,744,0.224,0.3,0.373,0.673,87,1074,58,29,13,20,11,561
Seattle Mariners,42,28.4,4.09,90,3366,2979,368,690,110,7,108,356,68,22,301,781,0.232,0.312,0.382,0.694,99,1138,50,58,7,20,5,619
San Francisco Giants,47,28,4.07,88,3300,3021,358,773,170,20,95,349,29,12,209,681,0.256,0.307,0.42,0.727,105,1268,53,28,15,27,10,597
St. Louis Cardinals,38,25.5,4.64,86,3289,2896,399,718,121,9,98,387,56,17,285,666,0.248,0.325,0.397,0.723,104,1151,69,62,15,30,12,609
Tampa Bay Rays,41,27.9,4.6,86,3271,2870,396,747,122,13,84,377,82,34,314,613,0.26,0.338,0.4,0.738,105,1147,70,36,25,24,13,615
Texas Rangers,44,29.6,4.09,89,3342,2972,364,726,130,13,95,349,42,10,294,742,0.244,0.32,0.393,0.712,109,1167,67,45,10,20,5,627
Toronto Blue Jays,49,28.9,4,89,3307,2983,356,731,143,5,88,342,36,9,244,661,0.245,0.307,0.385,0.692,88,1148,61,35,14,28,8,596
Washington Nationals,39,24.9,5.33,90,3463,3088,480,766,155,18,123,456,92,21,302,751,0.248,0.322,0.429,0.752,108,1326,57,43,11,16,11,577
League Average,43,28,4.51,89,3364,2985,401,727,139,12,103,384,60,19,303,743,0.244,0.319,0.402,0.721,100,1198,56,38,12,24,9,611
